Conference,Team,Wins,Losses,Percentage
Eastern,Cleveland Cavaliers,57,25,.695
Eastern,Toronto Raptors,56,26,.683
Eastern,Miami Heat,48,34,.585
Eastern,Atlanta Hawks,48,34,.585
Eastern,Boston Celtics,48,34,.585
Eastern,Charlotte Hornets,48,34,.585
Eastern,Indiana Pacers,45,37,.549
Eastern,Detroit Pistons,44,38,.537
Eastern,Chicago Bulls,42,40,.512
Eastern,Washington Wizards,41,41,.500
Eastern,Orlando Magic,35,47,.427
Eastern,Milwaukee Bucks,33,49,.402
Eastern,New York Knicks,32,50,.390
Eastern,Brooklyn Nets,21,61,.256
Eastern,Philadelphia 76ers,10,72,.122
Western,Golden State Warriors,73,9,.890
Western,San Antonio Spurs,67,15,.817
Western,Oklahoma City Thunder,55,27,.671
Western,Los Angeles Clippers,53,29,.646
Western,Portland Trail Blazers,44,38,.537
Western,Dallas Mavericks,42,40,.512
Western,Memphis Grizzlies,42,40,.512
Western,Houston Rockets,41,41,.500
Western,Utah Jazz,40,42,.488
Western,Sacramento Kings,33,49,.402
Western,Denver Nuggets,33,49,.402
Western,New Orleans Pelicans,30,52,.366
Western,Minnesota Timberwolves,29,53,.354
Western,Phoenix Suns,23,59,.280
Western,Los Angeles Lakers,17,65,.207
